iso_code,country,co2
AFG,Afghanistan,12.16
ALB,Albania,4.535
DZA,Algeria,154.995
AND,Andorra,0.466
AGO,Angola,22.198
AIA,Anguilla,0.123
ATG,Antigua and Barbuda,0.43
ARG,Argentina,156.978
ARM,Armenia,5.89
ABW,Aruba,0.753
AUS,Australia,391.892
AUT,Austria,60.635
AZE,Azerbaijan,37.72
BHS,Bahamas,2.338
BHR,Bahrain,34.96
BGD,Bangladesh,92.842
BRB,Barbados,1.087
BLR,Belarus,57.445
BEL,Belgium,83.749
BLZ,Belize,0.583
BEN,Benin,6.703
BMU,Bermuda,0.624
BTN,Bhutan,1.925
BOL,Bolivia,20.7
BES,Bonaire Sint Eustatius and Saba,0.301
BIH,Bosnia and Herzegovina,21.418
BWA,Botswana,6.519
BRA,Brazil,467.384
VGB,British Virgin Islands,0.139
BRN,Brunei,10.158
BGR,Bulgaria,37.444
BFA,Burkina Faso,3.97
BDI,Burundi,0.602
KHM,Cambodia,15.326
CMR,Cameroon,6.889
CAN,Canada,535.823
CPV,Cape Verde,0.55
CAF,Central African Republic,0.188
TCD,Chad,0.912
CHL,Chile,81.171
CHN,China,10667.887
COL,Colombia,89.105
COM,Comoros,0.258
COG,Congo,3.117
COK,Cook Islands,0.079
CRI,Costa Rica,7.907
CIV,Cote d'Ivoire,10.071
HRV,Croatia,16.982
CUB,Cuba,20.152
CUW,Curacao,3.335
CYP,Cyprus,6.496
CZE,Czechia,87.975
COD,Democratic Republic of Congo,2.477
DNK,Denmark,26.195
DJI,Djibouti,0.351
DMA,Dominica,0.139
DOM,Dominican Republic,27.769
ECU,Ecuador,30.932
EGY,Egypt,213.457
SLV,El Salvador,6.124
GNQ,Equatorial Guinea,10.265
ERI,Eritrea,0.722
EST,Estonia,10.452
SWZ,Eswatini,0.956
ETH,Ethiopia,14.665
FRO,Faeroe Islands,0.684
FJI,Fiji,1.393
FIN,Finland,39.288
FRA,France,276.634
GUF,French Guiana,0.728
PYF,French Polynesia,0.828
GAB,Gabon,4.298
GMB,Gambia,0.5
GEO,Georgia,9.968
DEU,Germany,644.31
GHA,Ghana,16.001
GRC,Greece,52.235
GRL,Greenland,0.514
GRD,Grenada,0.295
GLP,Guadeloupe,2.562
GTM,Guatemala,18.938
GIN,Guinea,3.394
GNB,Guinea-Bissau,0.287
GUY,Guyana,2.213
HTI,Haiti,2.92
HND,Honduras,9.66
HKG,Hong Kong,31.239
HUN,Hungary,48.275
ISL,Iceland,2.936
IND,India,2441.792
IDN,Indonesia,589.5
IRN,Iran,745.035
IRQ,Iraq,210.829
IRL,Ireland,33.349
ISR,Israel,56.351
ITA,Italy,303.815
JAM,Jamaica,7.429
JPN,Japan,1030.775
JOR,Jordan,25.487
KAZ,Kazakhstan,291.336
KEN,Kenya,16.146
KIR,Kiribati,0.068
OWID_KOS,Kosovo,7.89
KWT,Kuwait,88.935
KGZ,Kyrgyzstan,11.508
LAO,Laos,33.847
LVA,Latvia,6.773
LBN,Lebanon,25.969
LSO,Lesotho,2.183
LBR,Liberia,1.009
LBY,Libya,50.721
LIE,Liechtenstein,0.141
LTU,Lithuania,13.799
LUX,Luxembourg,8.175
MDG,Madagascar,3.68
MWI,Malawi,1.395
MYS,Malaysia,272.607
MDV,Maldives,1.796
MLI,Mali,3.39
MLT,Malta,1.595
MHL,Marshall Islands,0.151
MTQ,Martinique,2.348
MRT,Mauritania,3.377
MUS,Mauritius,3.979
MYT,Mayotte,0.306
MEX,Mexico,356.968
NAN,Micronesia (country),0.148
MDA,Moldova,5.147
MNG,Mongolia,88.442
MNE,Montenegro,2.31
MSR,Montserrat,0.025
MAR,Morocco,64.536
MOZ,Mozambique,6.571
MMR,Myanmar,36.326
NAM,Namibia,3.877
NRU,Nauru,0.057
NPL,Nepal,16.958
NLD,Netherlands,138.1
NCL,New Caledonia,8.693
NZL,New Zealand,33.475
NIC,Nicaragua,5.074
NER,Niger,1.69
NGA,Nigeria,125.463
NIU,Niue,0.011
PRK,North Korea,29.311
MKD,North Macedonia,7.147
NOR,Norway,41.283
OMN,Oman,62.163
PAK,Pakistan,234.755
PLW,Palau,0.219
PSE,Palestine,2.899
PAN,Panama,10.78
PNG,Papua New Guinea,6.652
PRY,Paraguay,7.57
PER,Peru,44.706
PHL,Philippines,136.018
POL,Poland,299.593
PRT,Portugal,40.388
QAT,Qatar,106.655
ROU,Romania,71.475
RUS,Russia,1577.136
RWA,Rwanda,1.033
SHN,Saint Helena,0.009
KNA,Saint Kitts and Nevis,0.212
LCA,Saint Lucia,0.44
SPM,Saint Pierre and Miquelon,0.051
VCT,Saint Vincent and the Grenadines,0.209
WSM,Samoa,0.246
STP,Sao Tome and Principe,0.113
SAU,Saudi Arabia,625.508
SEN,Senegal,10.451
SRB,Serbia,43.135
SYC,Seychelles,0.491
SLE,Sierra Leone,0.877
SGP,Singapore,45.504
SXM,Sint Maarten (Dutch part),0.623
SVK,Slovakia,30.73
SVN,Slovenia,12.563
SLB,Solomon Islands,0.299
SOM,Somalia,0.562
ZAF,South Africa,451.957
KOR,South Korea,597.605
SSD,South Sudan,1.179
ESP,Spain,208.915
LKA,Sri Lanka,21.106
SDN,Sudan,18.859
SUR,Suriname,2.224
SWE,Sweden,38.635
CHE,Switzerland,32.298
SYR,Syria,30.532
TWN,Taiwan,273.175
TJK,Tajikistan,9.448
TZA,Tanzania,10.939
THA,Thailand,257.766
TLS,Timor,0.526
TGO,Togo,2.192
TON,Tonga,0.144
TTO,Trinidad and Tobago,35.509
TUN,Tunisia,28.127
TUR,Turkey,392.794
TKM,Turkmenistan,75.338
TCA,Turks and Caicos Islands,0.203
TUV,Tuvalu,0.008
UGA,Uganda,4.892
UKR,Ukraine,213.909
ARE,United Arab Emirates,150.268
GBR,United Kingdom,329.579
USA,United States,4712.771
URY,Uruguay,5.84
UZB,Uzbekistan,112.784
VUT,Vanuatu,0.182
VEN,Venezuela,84.609
VNM,Vietnam,254.303
YEM,Yemen,9.768
ZMB,Zambia,6.573
ZWE,Zimbabwe,10.531