state,1990,2000,2010,2020
Alabama,4062608,4461130,4802982,5030053
Alaska,551947,628933,721523,736081
Arizona,3677985,5140683,6412700,7158923
Arkansas,2362239,2679733,2926229,3013756
California,29839250,33930798,37341989,39576757
Colorado,3307912,4311882,5044930,5782171
Connecticut,3295669,3409535,3581628,3608298
Delaware,668696,785068,900877,990837
Florida,13003362,16028890,18900773,21570527
Georgia,6508419,8206975,9727566,10725274
Hawaii,1115274,1216642,1366862,1460137
Idaho,1011986,1297274,1573499,1841377
Illinois,11466682,12439042,12864380,12822739
Indiana,5564228,6090782,6501582,6790280
Iowa,2787424,2931923,3053787,3192406
Kansas,2485600,2693824,2863813,2940865
Kentucky,3698969,4049431,4350606,4509342
Louisiana,4238216,4480271,4553962,4661468
Maine,1233223,1277731,1333074,1363582
Maryland,4798622,5307886,5789929,6185278
Massachusetts,6029051,6355568,6559644,7033469
Michigan,9328784,9955829,9911626,10084442
Minnesota,4387029,4925670,5314879,5709752
Mississippi,2586443,2852927,2978240,2963914
Missouri,5137804,5606260,6011478,6160281
Montana,803655,905316,994416,1085407
Nebraska,1584617,1715369,1831825,1963333
Nevada,1206152,2002032,2709432,3108462
New Hampshire,1113915,1238415,1321445,1379089
New Jersey,7748634,8424354,8807501,9294493
New Mexico,1521779,1823821,2067273,2120220
New York,18044505,19004973,19421055,20215751
North Carolina,6657630,8067673,9565781,10453948
North Dakota,641364,643756,675905,779702
Ohio,10887325,11374540,11568495,11808848
Oklahoma,3157604,3458819,3764882,3963516
Oregon,2853733,3428543,3848606,4241500
Pennsylvania,11924710,12300670,12734905,13011844
Rhode Island,1005984,1049662,1055247,1098163
South Carolina,3505707,4025061,4645975,5124712
South Dakota,699999,756874,819761,887770
Tennessee,4896641,5700037,6375431,6916897
Texas,17059805,20903994,25268418,29183290
Utah,1727784,2236714,2770765,3275252
Vermont,564964,609890,630337,643503
Virginia,6216568,7100702,8037736,8654542
Washington,4887941,5908684,6753369,7715946
West Virginia,1801625,1813077,1859815,1795045
Wisconsin,4906745,5371210,5698230,5897473
Wyoming,455975,495304,568300,577719